service_id,date,exception_type
1_109_1476_10_268_3,20250101,1
1_109_1476_10_268_3,20250106,1
1_109_1476_10_268_3,20250228,1
1_109_1476_10_268_3,20250417,1
1_109_1476_10_268_3,20250418,1
1_109_1476_10_268_3,20250501,1
1_109_1476_10_268_3,20250815,1
1_109_1476_10_268_3,20251013,1
1_109_1476_10_268_3,20251101,1
1_109_1476_10_268_3,20251206,1
1_109_1476_10_268_3,20251208,1
1_109_1476_10_268_3,20251225,1
1_109_1476_10_268_3,20250507,1
1_109_1476_10_268_3,20250619,1
1_112_164_10_267_3,20250101,1
1_112_164_10_267_3,20250106,1
1_112_164_10_267_3,20250228,1
1_112_164_10_267_3,20250417,1
1_112_164_10_267_3,20250418,1
1_112_164_10_267_3,20250501,1
1_112_164_10_267_3,20250815,1
1_112_164_10_267_3,20251013,1
1_112_164_10_267_3,20251101,1
1_112_164_10_267_3,20251206,1
1_112_164_10_267_3,20251208,1
1_112_164_10_267_3,20251225,1
1_112_164_10_267_3,20250507,1
1_112_164_10_267_3,20250619,1
1_131_1470_10_263_3,20250101,1
1_131_1470_10_263_3,20250106,1
1_131_1470_10_263_3,20250228,1
1_131_1470_10_263_3,20250417,1
1_131_1470_10_263_3,20250418,1
1_131_1470_10_263_3,20250501,1
1_131_1470_10_263_3,20250815,1
1_131_1470_10_263_3,20251013,1
1_131_1470_10_263_3,20251101,1
1_131_1470_10_263_3,20251206,1
1_131_1470_10_263_3,20251208,1
1_131_1470_10_263_3,20251225,1
1_131_1470_10_263_3,20250507,1
1_131_1470_10_263_3,20250619,1
1_297_178_10_277_3,20250101,1
1_297_178_10_277_3,20250106,1
1_297_178_10_277_3,20250228,1
1_297_178_10_277_3,20250417,1
1_297_178_10_277_3,20250418,1
1_297_178_10_277_3,20250501,1
1_297_178_10_277_3,20250815,1
1_297_178_10_277_3,20251013,1
1_297_178_10_277_3,20251101,1
1_297_178_10_277_3,20251206,1
1_297_178_10_277_3,20251208,1
1_297_178_10_277_3,20251225,1
1_297_178_10_277_3,20250507,1
1_297_178_10_277_3,20250619,1
1_446_532_10_282_3,20250101,1
1_446_532_10_282_3,20250106,1
1_446_532_10_282_3,20250228,1
1_446_532_10_282_3,20250417,1
1_446_532_10_282_3,20250418,1
1_446_532_10_282_3,20250501,1
1_446_532_10_282_3,20250815,1
1_446_532_10_282_3,20251013,1
1_446_532_10_282_3,20251101,1
1_446_532_10_282_3,20251206,1
1_446_532_10_282_3,20251208,1
1_446_532_10_282_3,20251225,1
1_446_532_10_282_3,20250507,1
1_446_532_10_282_3,20250619,1
1_452_543_10_284_3,20250101,1
1_452_543_10_284_3,20250106,1
1_452_543_10_284_3,20250228,1
1_452_543_10_284_3,20250417,1
1_452_543_10_284_3,20250418,1
1_452_543_10_284_3,20250501,1
1_452_543_10_284_3,20250815,1
1_452_543_10_284_3,20251013,1
1_452_543_10_284_3,20251101,1
1_452_543_10_284_3,20251206,1
1_452_543_10_284_3,20251208,1
1_452_543_10_284_3,20251225,1
1_452_543_10_284_3,20250507,1
1_452_543_10_284_3,20250619,1
1_512_370_9_217_3,20250101,1
1_512_370_9_217_3,20250106,1
1_512_370_9_217_3,20250228,1
1_512_370_9_217_3,20250417,1
1_512_370_9_217_3,20250418,1
1_512_370_9_217_3,20250501,1
1_512_370_9_217_3,20250815,1
1_512_370_9_217_3,20251013,1
1_512_370_9_217_3,20251101,1
1_512_370_9_217_3,20251206,1
1_512_370_9_217_3,20251208,1
1_512_370_9_217_3,20251225,1
1_512_370_9_217_3,20250507,1
1_512_370_9_217_3,20250619,1
1_535_525_10_279_3,20250101,1
1_535_525_10_279_3,20250106,1
1_535_525_10_279_3,20250228,1
1_535_525_10_279_3,20250417,1
1_535_525_10_279_3,20250418,1
1_535_525_10_279_3,20250501,1
1_535_525_10_279_3,20250815,1
1_535_525_10_279_3,20251013,1
1_535_525_10_279_3,20251101,1
1_535_525_10_279_3,20251206,1
1_535_525_10_279_3,20251208,1
1_535_525_10_279_3,20251225,1
1_535_525_10_279_3,20250507,1
1_535_525_10_279_3,20250619,1
1_632_718_24_239_4,20250101,1
1_632_718_24_239_4,20250106,1
1_632_718_24_239_4,20250228,1
1_632_718_24_239_4,20250417,1
1_632_718_24_239_4,20250418,1
1_632_718_24_239_4,20250501,1
1_632_718_24_239_4,20250815,1
1_632_718_24_239_4,20251013,1
1_632_718_24_239_4,20251101,1
1_632_718_24_239_4,20251206,1
1_632_718_24_239_4,20251208,1
1_632_718_24_239_4,20251225,1
1_632_718_24_239_4,20250507,1
1_632_718_24_239_4,20250619,1
1_636_723_24_242_4,20250101,1
1_636_723_24_242_4,20250106,1
1_636_723_24_242_4,20250228,1
1_636_723_24_242_4,20250417,1
1_636_723_24_242_4,20250418,1
1_636_723_24_242_4,20250501,1
1_636_723_24_242_4,20250815,1
1_636_723_24_242_4,20251013,1
1_636_723_24_242_4,20251101,1
1_636_723_24_242_4,20251206,1
1_636_723_24_242_4,20251208,1
1_636_723_24_242_4,20251225,1
1_636_723_24_242_4,20250507,1
1_636_723_24_242_4,20250619,1
1_638_725_24_243_4,20250101,1
1_638_725_24_243_4,20250106,1
1_638_725_24_243_4,20250228,1
1_638_725_24_243_4,20250417,1
1_638_725_24_243_4,20250418,1
1_638_725_24_243_4,20250501,1
1_638_725_24_243_4,20250815,1
1_638_725_24_243_4,20251013,1
1_638_725_24_243_4,20251101,1
1_638_725_24_243_4,20251206,1
1_638_725_24_243_4,20251208,1
1_638_725_24_243_4,20251225,1
1_638_725_24_243_4,20250507,1
1_638_725_24_243_4,20250619,1
1_640_727_24_245_4,20250101,1
1_640_727_24_245_4,20250106,1
1_640_727_24_245_4,20250228,1
1_640_727_24_245_4,20250417,1
1_640_727_24_245_4,20250418,1
1_640_727_24_245_4,20250501,1
1_640_727_24_245_4,20250815,1
1_640_727_24_245_4,20251013,1
1_640_727_24_245_4,20251101,1
1_640_727_24_245_4,20251206,1
1_640_727_24_245_4,20251208,1
1_640_727_24_245_4,20251225,1
1_640_727_24_245_4,20250507,1
1_640_727_24_245_4,20250619,1
1_743_1463_13_259_3,20250101,1
1_743_1463_13_259_3,20250106,1
1_743_1463_13_259_3,20250228,1
1_743_1463_13_259_3,20250417,1
1_743_1463_13_259_3,20250418,1
